,variety,ShiftStart,ShiftEnd,ShiftTime,BreakTime,LunchBreak,Date,Week,ShiftHours,OvertimeHours
0,Simcoe,2024-09-02 08:00:00,2024-09-02 18:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
1,Simcoe,2024-09-02 18:00:00,2024-09-03 04:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
2,Simcoe,2024-09-03 04:00:00,2024-09-03 14:00:00.000000,580.0,20.0,30,09-03-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
3,Simcoe,2024-09-03 14:00:00,2024-09-04 00:00:00.000000,580.0,20.0,30,09-03-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
4,Simcoe,2024-09-04 00:00:00,2024-09-04 10:00:00.000000,580.0,20.0,30,09-04-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
5,Simcoe,2024-09-04 10:00:00,2024-09-04 20:00:00.000000,580.0,20.0,30,09-04-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
6,Simcoe,2024-09-04 20:00:00,2024-09-05 06:00:00.000000,580.0,20.0,30,09-04-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
7,Simcoe,2024-09-05 06:00:00,2024-09-05 16:00:00.000000,580.0,20.0,30,09-05-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
8,Simcoe,2024-09-05 16:00:00,2024-09-06 02:00:00.000000,580.0,20.0,30,09-05-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
9,Simcoe,2024-09-06 02:00:00,2024-09-06 12:00:00.000000,580.0,20.0,30,09-06-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
10,Simcoe,2024-09-06 12:00:00,2024-09-06 22:00:00.000000,580.0,20.0,30,09-06-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
11,Simcoe,2024-09-06 22:00:00,2024-09-07 08:00:00.000000,580.0,20.0,30,09-06-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
12,Simcoe,2024-09-07 08:00:00,2024-09-07 18:00:00.000000,580.0,20.0,30,09-07-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
13,Simcoe,2024-09-07 18:00:00,2024-09-08 04:00:00.000000,580.0,20.0,30,09-07-2024,2024-09-01/2024-09-07,9.666666666666666,15.333333333333314
14,Simcoe,2024-09-09 08:00:00,2024-09-09 18:00:00.000000,580.0,20.0,30,09-09-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
15,Simcoe,2024-09-09 18:00:00,2024-09-09 18:33:24.098782,33.401646362488464,0.0,0,09-09-2024,2024-09-08/2024-09-14,0.5566941060414744,0.0
16,Citra,2024-09-10 08:00:00,2024-09-10 18:00:00.000000,580.0,20.0,30,09-10-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
17,Citra,2024-09-10 18:00:00,2024-09-11 04:00:00.000000,580.0,20.0,30,09-10-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
18,Citra,2024-09-11 04:00:00,2024-09-11 14:00:00.000000,580.0,20.0,30,09-11-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
19,Citra,2024-09-11 14:00:00,2024-09-12 00:00:00.000000,580.0,20.0,30,09-11-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
20,Citra,2024-09-12 00:00:00,2024-09-12 10:00:00.000000,580.0,20.0,30,09-12-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
21,Citra,2024-09-12 10:00:00,2024-09-12 18:03:07.271986,473.1211997674318,10.0,30,09-12-2024,2024-09-08/2024-09-14,7.885353329457197,0.0
22,Sabro,2024-09-13 08:00:00,2024-09-13 18:00:00.000000,580.0,20.0,30,09-13-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
23,Sabro,2024-09-13 18:00:00,2024-09-13 23:39:53.737941,329.89563234520267,10.0,30,09-13-2024,2024-09-08/2024-09-14,5.498260539086711,0.0
24,Mosaic,2024-09-14 08:00:00,2024-09-14 18:30:00.000000,610.0,20.0,30,09-14-2024,2024-09-08/2024-09-14,10.166666666666666,0.0
25,Mosaic,2024-09-14 18:30:00,2024-09-15 05:00:00.000000,610.0,20.0,30,09-14-2024,2024-09-08/2024-09-14,10.166666666666666,0.0
26,Mosaic,2024-09-16 08:00:00,2024-09-16 18:30:00.000000,610.0,20.0,30,09-16-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
27,Mosaic,2024-09-16 18:30:00,2024-09-17 05:00:00.000000,610.0,20.0,30,09-16-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
28,Mosaic,2024-09-17 05:00:00,2024-09-17 15:30:00.000000,610.0,20.0,30,09-17-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
29,Mosaic,2024-09-17 15:30:00,2024-09-18 02:00:00.000000,610.0,20.0,30,09-17-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
30,Mosaic,2024-09-18 02:00:00,2024-09-18 12:30:00.000000,610.0,20.0,30,09-18-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
31,Mosaic,2024-09-18 12:30:00,2024-09-18 23:00:00.000000,610.0,20.0,30,09-18-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
32,Mosaic,2024-09-18 23:00:00,2024-09-19 09:30:00.000000,610.0,20.0,30,09-18-2024,2024-09-15/2024-09-21,10.166666666666666,12.548716214605022
33,Mosaic,2024-09-19 09:30:00,2024-09-19 17:05:12.367937,445.20613228572074,10.0,30,09-19-2024,2024-09-15/2024-09-21,7.420102204762013,12.548716214605022
34,HBC 1019,2024-09-20 08:00:00,2024-09-20 10:54:43.084397,174.71807328544114,0.0,0,09-20-2024,2024-09-15/2024-09-21,2.9119678880906856,12.548716214605022
35,Palisade,2024-09-21 08:00:00,2024-09-21 15:30:00.000000,440.0,10.0,30,09-21-2024,2024-09-15/2024-09-21,7.333333333333333,12.548716214605022
36,Palisade,2024-09-21 15:30:00,2024-09-21 19:12:59.926038,222.9987673051395,0.0,0,09-21-2024,2024-09-15/2024-09-21,3.716646121752325,12.548716214605022
37,HBC 522,2024-09-23 08:00:00,2024-09-23 15:30:00.000000,440.0,10.0,30,09-23-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
38,HBC 522,2024-09-23 15:30:00,2024-09-23 23:00:00.000000,440.0,10.0,30,09-23-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
39,HBC 522,2024-09-23 23:00:00,2024-09-23 23:30:23.868313,30.397805212619915,0.0,0,09-23-2024,2024-09-22/2024-09-28,0.5066300868769986,9.109714422626993
40,Idaho 7,2024-09-24 08:00:00,2024-09-24 18:30:00.000000,610.0,20.0,30,09-24-2024,2024-09-22/2024-09-28,10.166666666666666,9.109714422626993
41,Idaho 7,2024-09-24 18:30:00,2024-09-24 22:10:57.319588,220.95532646048116,0.0,0,09-24-2024,2024-09-22/2024-09-28,3.682588774341353,9.109714422626993
42,Talus,2024-09-25 08:00:00,2024-09-25 15:30:00.000000,440.0,10.0,30,09-25-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
43,Talus,2024-09-25 15:30:00,2024-09-25 23:00:00.000000,440.0,10.0,30,09-25-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
44,Talus,2024-09-25 23:00:00,2024-09-26 00:25:13.784021,85.22973368451869,0.0,0,09-25-2024,2024-09-22/2024-09-28,1.420495561408645,9.109714422626993
45,HBC 682,2024-09-27 08:00:00,2024-09-27 15:30:00.000000,440.0,10.0,30,09-27-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
46,HBC 682,2024-09-27 15:30:00,2024-09-27 23:00:00.000000,440.0,10.0,30,09-27-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
47,HBC 682,2024-09-27 23:00:00,2024-09-28 06:30:00.000000,440.0,10.0,30,09-27-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
48,HBC 682,2024-09-28 06:30:00,2024-09-28 14:00:00.000000,440.0,10.0,30,09-28-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
49,HBC 682,2024-09-28 14:00:00,2024-09-28 21:30:00.000000,440.0,10.0,30,09-28-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
50,HBC 682,2024-09-28 21:30:00,2024-09-29 05:00:00.000000,440.0,10.0,30,09-28-2024,2024-09-22/2024-09-28,7.333333333333333,9.109714422626993
51,HBC 682,2024-09-30 08:00:00,2024-09-30 15:30:00.000000,440.0,10.0,30,09-30-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
52,HBC 682,2024-09-30 15:30:00,2024-09-30 23:00:00.000000,440.0,10.0,30,09-30-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
53,HBC 682,2024-09-30 23:00:00,2024-10-01 04:49:29.560701,339.4926783500323,10.0,30,09-30-2024,2024-09-29/2024-10-05,5.658211305833872,0.0
54,HBC 638,2024-10-02 08:00:00,2024-10-02 15:30:00.000000,440.0,10.0,30,10-02-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
