crop_year,Field,Variety,Acres,# Hills,2 or 3 String,Total Strings,mature_1,is_organic
2024,# 67,HBC 682,36.02,32021.78,2,64043.56,1,0
2024,# 68,HBC 682,35.4,31470.6,2,62941.2,1,0
2024,# 50,HBC 682,33.54,29817.06,2,59634.12,1,0
2024,# 77,HBC 682,22.97,20420.33,2,40840.66,1,0
2024,# 79,HBC 682,33.96,30190.44,2,60380.88,1,0
2024,Whitener,HBC 682,32.45,28848.05,2,57696.1,1,0
2024,# 13,HBC 682,3.5,3111.5,2,6223,1,1
2024,# 13,HBC 682,9.15,8134.35,1,8134.35,1,1
2024,# 84,Idaho 7,19.04,16926.56,2,33853.12,1,0
2024,# 83,Talus,11.18,9939.02,2,19878.04,1,0
2024,# 7,Talus,18.5,16446.5,2,32893,1,0
2024,# 52,Citra®,8.82,7840.98,2,15681.96,1,0
2024,Rice 40,Citra®,32.56,28945.84,2,57891.68,1,0
2024,# 5,Citra®,35.3,31381.7,2,62763.4,1,0
2024,# 59,Citra®,33.26,29568.14,2,59136.28,0,0
2024,# 60,Citra®,33.22,29532.58,2,59065.16,0,0
2024,# 64,Citra®,17.31,15388.59,2.5,38471.475,0,0
2024,# 1,Citra®,36.14,37477.18,2,74954.36,1,0
2024,Lock 40,Citra®,17.6,18251.2,2,36502.4,1,0
2024,# 4,Citra®,27.77,24687.53,2.5,61718.825,1,1
2024,BHM,Citra®,6.36,5654.04,3,16962.12,1,1
2024,# 7,YCR,1.9,1689.1,2,3378.2,1,0
2024,# 72,YCR,18.88,16784.32,2,33568.64,1,0
2024,# 76,YCR Elite,9.42,8374.38,2,16748.76,1,0
2024,Tri 40,Palisade®,18.2,16179.8,2,32359.6,1,0
2024,# 72,Palisade®,10.79,9592.31,1,9592.31,1,0
2024,#2,Simcoe®,36.43,32386.27,2,64772.54,1,0
2024,# 3,Simcoe®,36.44,32395.16,3,97185.48,1,0
2024,# 14,Simcoe®,17.58,15628.62,3,46885.86,1,0
2024,# 15,Simcoe®,34.65,30803.85,3,92411.55,1,0
2024,# 16,Simcoe®,31.23,27763.47,3,83290.41,1,0
2024,# 6,Simcoe®,31.26,27790.14,3,83370.42,1,0
2024,# 47,Simcoe®,44.83,39853.87,3,119561.61,1,0
2024,# 74,Simcoe®,35.82,31843.98,3,95531.94,1,0
2024,# 81,Simcoe®,33.99,30217.11,3,90651.33,1,0
2024,# 82,Simcoe®,35.14,31239.46,3,93718.38,1,0
2024,# 8,Simcoe®,26.87,27864.19,2,55728.38,1,0
2024,# 75,Simcoe®,32.24,28661.36,2,57322.72,0,0
2024,# 4,Simcoe®,2.62,2329.18,2.5,5822.95,1,1
2024,# 85,Simcoe®,15,15555,2,31110,0,1
2024,# 11,Simcoe®,10.63,9450.07,2.5,23625.175,1,1
2024,BHM,Simcoe®,7.83,6960.87,3,20882.61,1,1
2024,# 62,Mosaic®,34.29,30483.81,2,60967.62,0,0
2024,# 63,Mosaic®,34.72,30866.08,2,61732.16,0,0
2024,# 65,Mosaic®,27.57,24509.73,2,49019.46,1,0
2024,# 66,Mosaic®,35.51,31568.39,2,63136.78,1,0
2024,# 69,Mosaic®,37.38,33230.82,2,66461.64,1,0
2024,# 70,Mosaic®,33.61,29879.29,2,59758.58,1,0
2024,# 73,Mosaic®,34.13,30341.57,2,60683.14,1,0
2024,# 80,Mosaic®,37.29,33150.81,2,66301.62,1,0
2024,BHM,Mosaic®,0.764,679.196,3,2037.588,1,1
2024,# 85,Mosaic®,4.58,4749.46,2,9498.92,0,1
2024,# 7,HBC 586,15.09,13415.01,2,26830.02,1,0
2024,# 83,HBC 586,19.35,17202.15,2,34404.3,1,0
2024,# 84,HBC 586,19.04,16926.56,2,33853.12,1,0
2024,Waterberry,HBC 586,9.96,10328.52,2,20657.04,1,0
2024,# 9,HBC 586,13.43,11939.27,2.5,29848.175,1,1
2024,# 85,HBC 586,12.2,12651.4,2,25302.8,0,1
2024,# 86,HBC 586,2.97,3079.89,1,3079.89,0,1
2024,# 78,Sabro®,35.01,31123.89,2,62247.78,1,0
2024,#8,HBC 1019,4.89,5070.93,2,10141.86,1,0
2024,# 12,Cascade,7.89,7014.21,2,14028.42,1,1
2024,Tri 40,HBC 638,14.85,13201.65,2,26403.3,1,0
2024,Waterberry,HBC 522,16,16592,2,33184,1,0
