,variety,machine,acres,vpm,strings
0,Citra,1.0,130.42000000000002,34.977,247793.8
1,Experimental,1.0,30.199999999999996,47.169,53695.59999999999
2,HBC 1019,1.0,4.89,19.349,10141.86
3,HBC 522,1.0,16.0,12.15,33184.0
4,HBC 586,1.0,63.44,24.494,115744.48000000001
5,HBC 638,1.0,14.85,15.637,26403.3
6,HBC 682,1.0,194.34,29.843,345536.52
7,Idaho 7,1.0,19.04,13.58,33853.12
8,Mosaic,1.0,205.49,26.546,365361.22
9,Palisade,1.0,28.99,21.092,41951.909999999996
10,Sabro,1.0,35.01,22.804,62247.78
11,Simcoe,1.0,364.24,36.933,923107.9
12,Talus,1.0,29.68,18.224,52771.04
13,Citra,1.0,83.78999999999999,51.624,156672.915
14,Mosaic,1.0,69.00999999999999,30.354,122699.78
15,Simcoe,1.0,32.24,47.528,57322.72
