,variety,ShiftStart,ShiftEnd,ShiftTime,BreakTime
0,Citra,2024-09-03 08:00:00,2024-09-03 16:00:00.000000,460.0,20.0
1,Citra,2024-09-03 16:00:00,2024-09-04 00:00:00.000000,460.0,20.0
2,Citra,2024-09-04 00:00:00,2024-09-04 08:00:00.000000,460.0,20.0
3,Citra,2024-09-04 08:00:00,2024-09-04 16:00:00.000000,460.0,20.0
4,Citra,2024-09-04 16:00:00,2024-09-05 00:00:00.000000,460.0,20.0
5,Citra,2024-09-05 00:00:00,2024-09-05 08:00:00.000000,460.0,20.0
6,Citra,2024-09-05 08:00:00,2024-09-05 16:00:00.000000,460.0,20.0
7,Citra,2024-09-05 16:00:00,2024-09-05 18:33:07.271986,153.121,0.0
8,Experimental,2024-09-28 08:00:00,2024-09-28 14:29:27.325998,379.455,10.0
9,HBC 1019,2024-09-13 08:00:00,2024-09-13 10:54:43.084397,174.718,0.0
10,HBC 522,2024-09-16 08:00:00,2024-09-16 16:00:00.000000,460.0,20.0
11,HBC 522,2024-09-16 16:00:00,2024-09-16 23:40:23.868313,450.398,10.0
12,HBC 586,2024-09-26 08:00:00,2024-09-26 16:00:00.000000,460.0,20.0
13,HBC 586,2024-09-26 16:00:00,2024-09-27 00:00:00.000000,460.0,20.0
14,HBC 586,2024-09-27 00:00:00,2024-09-27 08:00:00.000000,460.0,20.0
15,HBC 586,2024-09-27 08:00:00,2024-09-27 11:15:08.434719,195.141,0.0
16,HBC 638,2024-09-25 08:00:00,2024-09-25 16:00:00.000000,460.0,20.0
17,HBC 638,2024-09-25 16:00:00,2024-09-25 17:42:50.288418,102.838,0.0
18,HBC 682,2024-09-20 08:00:00,2024-09-20 16:00:00.000000,460.0,20.0
19,HBC 682,2024-09-20 16:00:00,2024-09-21 00:00:00.000000,460.0,20.0
20,HBC 682,2024-09-21 00:00:00,2024-09-21 08:00:00.000000,460.0,20.0
21,HBC 682,2024-09-21 08:00:00,2024-09-21 16:00:00.000000,460.0,20.0
22,HBC 682,2024-09-21 16:00:00,2024-09-22 00:00:00.000000,460.0,20.0
23,HBC 682,2024-09-23 08:00:00,2024-09-23 16:00:00.000000,460.0,20.0
24,HBC 682,2024-09-23 16:00:00,2024-09-24 00:00:00.000000,460.0,20.0
25,HBC 682,2024-09-24 00:00:00,2024-09-24 08:00:00.000000,460.0,20.0
26,HBC 682,2024-09-24 08:00:00,2024-09-24 10:59:29.560701,179.493,0.0
27,Idaho 7,2024-09-17 08:00:00,2024-09-17 16:00:00.000000,460.0,20.0
28,Idaho 7,2024-09-17 16:00:00,2024-09-17 22:20:57.319588,370.955,10.0
29,Mosaic,2024-09-07 08:00:00,2024-09-07 16:00:00.000000,460.0,20.0
30,Mosaic,2024-09-07 16:00:00,2024-09-08 00:00:00.000000,460.0,20.0
31,Mosaic,2024-09-09 08:00:00,2024-09-09 16:00:00.000000,460.0,20.0
32,Mosaic,2024-09-09 16:00:00,2024-09-10 00:00:00.000000,460.0,20.0
33,Mosaic,2024-09-10 00:00:00,2024-09-10 08:00:00.000000,460.0,20.0
34,Mosaic,2024-09-10 08:00:00,2024-09-10 16:00:00.000000,460.0,20.0
35,Mosaic,2024-09-10 16:00:00,2024-09-11 00:00:00.000000,460.0,20.0
36,Mosaic,2024-09-11 00:00:00,2024-09-11 08:00:00.000000,460.0,20.0
37,Mosaic,2024-09-11 08:00:00,2024-09-11 16:00:00.000000,460.0,20.0
38,Mosaic,2024-09-11 16:00:00,2024-09-12 00:00:00.000000,460.0,20.0
39,Mosaic,2024-09-12 00:00:00,2024-09-12 08:00:00.000000,460.0,20.0
40,Mosaic,2024-09-12 08:00:00,2024-09-12 16:00:00.000000,460.0,20.0
41,Mosaic,2024-09-12 16:00:00,2024-09-12 23:05:12.367937,415.206,10.0
42,Palisade,2024-09-14 08:00:00,2024-09-14 16:00:00.000000,460.0,20.0
43,Palisade,2024-09-14 16:00:00,2024-09-14 19:22:59.926038,202.999,0.0
44,Sabro,2024-09-06 08:00:00,2024-09-06 16:00:00.000000,460.0,20.0
45,Sabro,2024-09-06 16:00:00,2024-09-06 23:39:53.737941,449.896,10.0
46,Simcoe,2024-08-26 06:00:00,2024-08-26 14:00:00.000000,460.0,20.0
47,Simcoe,2024-08-26 14:00:00,2024-08-26 22:00:00.000000,460.0,20.0
48,Simcoe,2024-08-26 22:00:00,2024-08-27 06:00:00.000000,460.0,20.0
49,Simcoe,2024-08-27 06:00:00,2024-08-27 14:00:00.000000,460.0,20.0
50,Simcoe,2024-08-27 14:00:00,2024-08-27 22:00:00.000000,460.0,20.0
51,Simcoe,2024-08-27 22:00:00,2024-08-28 06:00:00.000000,460.0,20.0
52,Simcoe,2024-08-28 06:00:00,2024-08-28 14:00:00.000000,460.0,20.0
53,Simcoe,2024-08-28 14:00:00,2024-08-28 22:00:00.000000,460.0,20.0
54,Simcoe,2024-08-28 22:00:00,2024-08-29 06:00:00.000000,460.0,20.0
55,Simcoe,2024-08-29 06:00:00,2024-08-29 14:00:00.000000,460.0,20.0
56,Simcoe,2024-08-29 14:00:00,2024-08-29 22:00:00.000000,460.0,20.0
57,Simcoe,2024-08-29 22:00:00,2024-08-30 06:00:00.000000,460.0,20.0
58,Simcoe,2024-08-30 06:00:00,2024-08-30 14:00:00.000000,460.0,20.0
59,Simcoe,2024-08-30 14:00:00,2024-08-30 22:00:00.000000,460.0,20.0
60,Simcoe,2024-08-30 22:00:00,2024-08-31 06:00:00.000000,460.0,20.0
61,Simcoe,2024-08-31 06:00:00,2024-08-31 14:00:00.000000,460.0,20.0
62,Simcoe,2024-08-31 14:00:00,2024-08-31 22:00:00.000000,460.0,20.0
63,Simcoe,2024-08-31 22:00:00,2024-09-01 06:00:00.000000,460.0,20.0
64,Simcoe,2024-09-02 08:00:00,2024-09-02 15:43:24.098782,453.402,10.0
65,Talus,2024-09-18 08:00:00,2024-09-18 16:00:00.000000,460.0,20.0
66,Talus,2024-09-18 16:00:00,2024-09-19 00:00:00.000000,460.0,20.0
67,Talus,2024-09-19 00:00:00,2024-09-19 00:45:13.784021,45.23,0.0
