,variety,ShiftStart,ShiftEnd,ShiftTime,BreakTime,LunchBreak,Date,Week,ShiftHours,OvertimeHours
0,Simcoe,2024-09-01 06:00:00.000000,2024-09-01 16:00:00.000000,580.0,20.0,30,09-01-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
1,Simcoe,2024-09-01 16:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-01-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
2,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
3,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
4,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
5,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
6,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
7,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
8,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
9,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
10,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
11,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
12,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
13,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
14,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 02:00:00.000000,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
15,Simcoe,2024-09-02 06:00:00.000000,2024-09-02 06:33:24.098782,33.401646362488464,0.0,0,09-02-2024,2024-09-01/2024-09-07,0.5566941060414744,15.606974641252037
16,Citra,2024-09-02 06:33:24.098782,2024-09-02 16:33:24.098782,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
17,Citra,2024-09-02 16:33:24.098782,2024-09-03 02:33:24.098782,580.0,20.0,30,09-02-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
18,Citra,2024-09-03 06:00:00.000000,2024-09-03 02:33:24.098782,580.0,20.0,30,09-03-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
19,Citra,2024-09-03 06:00:00.000000,2024-09-03 02:33:24.098782,580.0,20.0,30,09-03-2024,2024-09-01/2024-09-07,9.666666666666666,15.606974641252037
