,variety,ShiftStart,ShiftEnd,ShiftTime,BreakTime,LunchBreak,Week,ShiftHours,OvertimeHours
0,Simcoe,2024-08-26 06:00:00,2024-08-26 16:30:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
1,Simcoe,2024-08-26 16:30:00,2024-08-27 03:00:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
2,Simcoe,2024-08-27 03:00:00,2024-08-27 13:30:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
3,Simcoe,2024-08-27 13:30:00,2024-08-28 00:00:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
4,Simcoe,2024-08-28 00:00:00,2024-08-28 10:30:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
5,Simcoe,2024-08-28 10:30:00,2024-08-28 21:00:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
6,Simcoe,2024-08-28 21:00:00,2024-08-29 07:30:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
7,Simcoe,2024-08-29 07:30:00,2024-08-29 18:00:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
8,Simcoe,2024-08-29 18:00:00,2024-08-30 04:30:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
9,Simcoe,2024-08-30 04:30:00,2024-08-30 15:00:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
10,Simcoe,2024-08-30 15:00:00,2024-08-31 01:30:00.000000,610.0,20.0,30,2024-08-25/2024-08-31,10.166666666666666,0.0
11,Simcoe,2024-09-02 08:00:00,2024-09-02 18:30:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
12,Simcoe,2024-09-02 18:30:00,2024-09-03 05:00:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
13,Simcoe,2024-09-03 05:00:00,2024-09-03 15:30:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
14,Simcoe,2024-09-03 15:30:00,2024-09-03 18:43:24.098782,193.40164636248846,0.0,0,2024-09-01/2024-09-07,3.223360772708141,9.942047435498665
15,Citra,2024-09-04 08:00:00,2024-09-04 18:30:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
16,Citra,2024-09-04 18:30:00,2024-09-05 05:00:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
17,Citra,2024-09-05 05:00:00,2024-09-05 15:30:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
18,Citra,2024-09-05 15:30:00,2024-09-06 02:00:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
19,Citra,2024-09-06 02:00:00,2024-09-06 12:30:00.000000,610.0,20.0,30,2024-09-01/2024-09-07,10.166666666666666,9.942047435498665
20,Citra,2024-09-06 12:30:00,2024-09-06 18:03:07.271986,323.1211997674318,10.0,30,2024-09-01/2024-09-07,5.385353329457197,9.942047435498665
21,Sabro,2024-09-09 08:00:00,2024-09-09 18:30:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
22,Sabro,2024-09-09 18:30:00,2024-09-09 23:39:53.737941,299.89563234520267,10.0,0,2024-09-08/2024-09-14,4.998260539086711,0.0
23,Mosaic,2024-09-10 08:00:00,2024-09-10 18:30:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
24,Mosaic,2024-09-10 18:30:00,2024-09-11 05:00:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
25,Mosaic,2024-09-11 05:00:00,2024-09-11 15:30:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
26,Mosaic,2024-09-11 15:30:00,2024-09-12 02:00:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
27,Mosaic,2024-09-12 02:00:00,2024-09-12 12:30:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
28,Mosaic,2024-09-12 12:30:00,2024-09-12 23:00:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
29,Mosaic,2024-09-12 23:00:00,2024-09-13 09:30:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
30,Mosaic,2024-09-13 09:30:00,2024-09-13 20:00:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
31,Mosaic,2024-09-13 20:00:00,2024-09-14 06:30:00.000000,610.0,20.0,30,2024-09-08/2024-09-14,10.166666666666666,0.0
32,Mosaic,2024-09-16 08:00:00,2024-09-16 15:35:12.367937,445.20613228572074,10.0,30,2024-09-15/2024-09-21,7.420102204762013,10.404601742490037
33,HBC 1019,2024-09-17 08:00:00,2024-09-17 10:54:43.084397,174.71807328544114,0.0,0,2024-09-15/2024-09-21,2.9119678880906856,10.404601742490037
34,Palisade,2024-09-18 08:00:00,2024-09-18 18:30:00.000000,610.0,20.0,30,2024-09-15/2024-09-21,10.166666666666666,10.404601742490037
35,Palisade,2024-09-18 18:30:00,2024-09-18 19:22:59.926038,52.998767305139495,0.0,0,2024-09-15/2024-09-21,0.8833127884189916,10.404601742490037
36,HBC 522,2024-09-19 08:00:00,2024-09-19 18:30:00.000000,610.0,20.0,30,2024-09-15/2024-09-21,10.166666666666666,10.404601742490037
37,HBC 522,2024-09-19 18:30:00,2024-09-19 23:40:23.868313,300.3978052126199,10.0,30,2024-09-15/2024-09-21,5.006630086876998,10.404601742490037
38,Idaho 7,2024-09-20 08:00:00,2024-09-20 18:30:00.000000,610.0,20.0,30,2024-09-15/2024-09-21,10.166666666666666,10.404601742490037
39,Idaho 7,2024-09-20 18:30:00,2024-09-20 22:10:57.319588,220.95532646048116,0.0,0,2024-09-15/2024-09-21,3.682588774341353,10.404601742490037
40,Talus,2024-09-23 08:00:00,2024-09-23 18:30:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
41,Talus,2024-09-23 18:30:00,2024-09-24 00:35:13.784021,355.2297336845187,10.0,30,2024-09-22/2024-09-28,5.920495561408645,0.412040200575845
42,HBC 682,2024-09-25 08:00:00,2024-09-25 18:30:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
43,HBC 682,2024-09-25 18:30:00,2024-09-26 05:00:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
44,HBC 682,2024-09-26 05:00:00,2024-09-26 15:30:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
45,HBC 682,2024-09-26 15:30:00,2024-09-27 02:00:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
46,HBC 682,2024-09-27 02:00:00,2024-09-27 12:30:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
47,HBC 682,2024-09-27 12:30:00,2024-09-27 23:00:00.000000,610.0,20.0,30,2024-09-22/2024-09-28,10.166666666666666,0.412040200575845
48,HBC 682,2024-09-27 23:00:00,2024-09-28 02:19:29.560701,199.4926783500323,0.0,0,2024-09-22/2024-09-28,3.324877972500538,0.412040200575845
49,HBC 638,2024-09-30 08:00:00,2024-09-30 17:42:50.288418,562.8381403082433,20.0,30,2024-09-29/2024-10-05,9.380635671804054,1.9572358708912105
50,HBC 586,2024-10-01 08:00:00,2024-10-01 18:30:00.000000,610.0,20.0,30,2024-09-29/2024-10-05,10.166666666666666,1.9572358708912105
51,HBC 586,2024-10-01 18:30:00,2024-10-02 05:00:00.000000,610.0,20.0,30,2024-09-29/2024-10-05,10.166666666666666,1.9572358708912105
52,HBC 586,2024-10-02 05:00:00,2024-10-02 11:05:08.434719,355.1405786451103,10.0,30,2024-09-29/2024-10-05,5.919009644085171,1.9572358708912105
53,Experimental,2024-10-03 08:00:00,2024-10-03 14:29:27.325998,379.45543330011935,10.0,30,2024-09-29/2024-10-05,6.324257221668656,1.9572358708912105
