Observation,Year,Field,Variety,Maturity,Acres,String,String Count,Target VPM,Target Hrs,Acutal Hrs,Actual VPM,VPM Per Machine,Machine Type
1,2019,52,Simcoe,mature,8.88,3,23682.96,75,5.26288,4.8,82.2325,41.11625,PH
1,2019,7 east,Equinox,mature,10.63,2,18900.14,50,6.300046667,5.33,59.09987492,29.54993746,PH
1,2019,1,Citra,mature,18.78,2.5,41738.55,64,10.86941406,12.16,57.20744243,28.60372122,PH
1,2019,72,YCR,mature,18.58,2,33035.24,50,11.01174667,6.92,79.56464355,39.78232177,PH
1,2019,77,HBC 682,babies,22.97,2,40840.66,60,11.34462778,10.66,63.85343965,31.92671982,PH
1,2019,7 west,Equinox,mature,19.2,2,34137.6,50,11.3792,12.16,46.78947368,23.39473684,PH
1,2019,70,Mosaic,babies,33.61,2,59758.58,75,13.27968444,15,66.39842222,33.19921111,PH
1,2019,71,Mosaic,babies,34.14,2,60700.92,75,13.48909333,10.67,94.81555764,47.40777882,PH
1,2019,76,Ahtanum,mature,23.3,2,41427.4,50,13.80913333,25.58,26.99205108,13.49602554,PH
1,2019,61,Mosaic,mature,21.52,2,38262.56,45,14.17131852,16.5,38.64905051,19.32452525,PH
1,2019,24,Citra,mature,24.62,2.5,54717.95,64,14.24946615,12.5,72.95726667,36.47863333,PH
1,2019,6,Simcoe,mature,25.26,3,67368.42,75,14.97076,12.5,89.82456,44.91228,PH
1,2019,# 81,Simcoe,mature,33.99,2.5,75542.775,80,15.73807813,23.33,53.96683455,26.98341727,PH
1,2019,52,Citra,mature,22.79,3,60780.93,64,15.82836719,16,63.31346875,31.65673438,PH
1,2019,# 82,Simcoe,mature,35.14,2.5,78098.65,80,16.27055208,24.67,52.76222808,26.38111404,PH
1,2019,# 47,Simcoe,babies,44.83,2,79707.74,80,16.60577917,11.17,118.9312742,59.46563712,PH
1,2019,79,HBC 682,babies,33.96,2,60380.88,60,16.77246667,14.16,71.06977401,35.53488701,PH
1,2019,68,HBC 682,babies,35.4,2,62941.2,60,17.48366667,13.5,77.70518519,38.85259259,PH
1,2019,65,Mosaic,mature,27.25,2,48450.5,45,17.94462963,20.25,39.87695473,19.93847737,PH
1,2019,# 16,Simcoe,mature,31.23,3,83290.41,75,18.50898,19.5,71.18838462,35.59419231,PH
1,2019,75,Ahtanum,mature,32.64,2,58033.92,50,19.34464,35,27.6352,13.8176,PH
1,2019,67,HBC 682,mature,36.02,2,64043.56,55,19.40713939,15.92,67.04727806,33.52363903,PH
1,2019,59,Citra,mature,33.6,2.5,74676,64,19.446875,21.84,56.98717949,28.49358974,PH
1,2019,60,Citra,mature,33.6,2.5,74676,64,19.446875,20.5,60.71219512,30.35609756,PH
1,2019,50,HBC 682,mature,33.54,2,59634.12,50,19.87804,16.83,59.0553773,29.52768865,PH
1,2019,53,Simcoe,mature,33.57,3,89531.19,75,19.89582,24.84,60.07192029,30.03596014,PH
1,2019,63,Citra,mature,34.72,2.5,77165.2,64,20.09510417,18.5,69.5181982,34.7590991,PH
1,2019,# 15,Simcoe,mature,34.65,3,92411.55,75,20.5359,18.5,83.25364865,41.62682432,PH
1,2019,Waterberry,Citra,mature,35.76,2.5,79476.6,64,20.69703125,22.83,58.02058695,29.01029347,PH
1,2019,2,Citra,mature,36.2,2.5,80454.5,64,20.95169271,24.67,54.35380354,27.17690177,PH
1,2019,5,Simcoe,mature,35.65,3,95078.55,75,21.12856667,24.33,65.13121661,32.5656083,PH
1,2019,3,Simcoe,mature,36.44,3,97185.48,75,21.59677333,22.33,72.53730408,36.26865204,PH
1,2019,74,Simcoe,mature,35.82,2.5,79609.95,60,22.113875,27.17,48.83446816,24.41723408,PH
1,2019,62,Mosaic,mature,34.84,2,61945.52,45,22.94278519,29.01,35.58860163,17.79430082,PH
1,2019,66,Mosaic,mature,35.51,2,63136.78,45,23.38399259,26.17,40.20938734,20.10469367,PH
1,2019,73,Mosaic,mature,36.73,2,65305.94,45,24.18738519,29.92,36.37808601,18.189043,PH
