,crop_year,machine,variety,is_mature,acres,vpm
0,2019,1,Simcoe,1,8.88,41.116
1,2019,1,Equinox,1,10.63,29.55
2,2019,1,Citra,1,18.78,28.604
3,2019,1,Experimental,1,18.58,39.782
4,2019,1,HBC 682,0,22.97,31.927
5,2019,1,Equinox,1,19.2,23.395
6,2019,1,Mosaic,0,33.61,33.199
7,2019,1,Mosaic,0,34.14,47.408
8,2019,1,Ahtanum,1,23.3,13.496
9,2019,1,Mosaic,1,21.52,19.325
10,2019,1,Citra,1,24.62,36.479
11,2019,1,Simcoe,1,25.26,44.912
12,2019,1,Simcoe,1,33.99,26.983
13,2019,1,Citra,1,22.79,31.657
14,2019,1,Simcoe,1,35.14,26.381
15,2019,1,Simcoe,0,44.83,59.466
16,2019,1,HBC 682,0,33.96,35.535
17,2019,1,HBC 682,0,35.4,38.853
18,2019,1,Mosaic,1,27.25,19.938
19,2019,1,Simcoe,1,31.23,35.594
20,2019,1,Ahtanum,1,32.64,13.818
21,2019,1,HBC 682,1,36.02,33.524
22,2019,1,Citra,1,33.6,28.494
23,2019,1,Citra,1,33.6,30.356
24,2019,1,HBC 682,1,33.54,29.528
25,2019,1,Simcoe,1,33.57,30.036
26,2019,1,Citra,1,34.72,34.759
27,2019,1,Simcoe,1,34.65,41.627
28,2019,1,Citra,1,35.76,29.01
29,2019,1,Citra,1,36.2,27.177
30,2019,1,Simcoe,1,35.65,32.566
31,2019,1,Simcoe,1,36.44,36.269
32,2019,1,Simcoe,1,35.82,24.417
33,2019,1,Mosaic,1,34.84,17.794
34,2019,1,Mosaic,1,35.51,20.105
35,2019,1,Mosaic,1,36.73,18.189
36,2020,1,Simcoe,1,18.19,46.683
37,2020,1,Simcoe,1,34.65,53.147
38,2020,1,Simcoe,1,31.23,36.531
39,2020,1,Simcoe,1,36.44,42.269
40,2020,1,Simcoe,1,44.83,43.719
41,2020,1,Simcoe,1,33.57,43.888
42,2020,1,Simcoe,0,8.25,26.689
43,2020,1,Simcoe,1,35.82,32.632
44,2020,1,Simcoe,1,33.99,40.174
45,2020,1,Simcoe,1,35.14,35.818
46,2020,1,Mosaic,1,16.45,97.494
47,2020,1,Mosaic,1,31.13,48.121
48,2020,1,Mosaic,1,22.48,26.646
49,2020,1,Mosaic,1,34.84,26.032
50,2020,1,Mosaic,1,27.25,27.373
51,2020,1,Mosaic,1,37.38,27.123
52,2020,1,Mosaic,1,33.61,23.896
53,2020,1,Mosaic,1,34.14,26.155
54,2020,1,Mosaic,1,36.73,31.385
55,2020,1,HBC 682,1,33.54,34.272
56,2020,1,HBC 682,1,36.02,27.023
57,2020,1,HBC 682,1,35.4,25.168
58,2020,1,HBC 682,1,22.97,19.627
59,2020,1,HBC 682,1,33.96,24.343
60,2020,1,HBC 682,1,17.56,80.501
61,2020,1,HBC 682,0,32.45,97.823
62,2020,1,Citra,1,18.78,39.346
63,2020,1,Citra,1,24.62,45.598
64,2020,1,Citra,1,33.6,41.022
65,2020,1,Citra,1,33.6,46.096
66,2020,1,Citra,1,34.72,56.49
67,2020,1,Citra,1,36.2,47.049
68,2020,1,Citra,1,35.76,44.39
69,2020,1,Citra,0,17.31,45.314
70,2021,1,Simcoe,1,18.19,44.919
71,2021,1,Simcoe,1,34.65,48.895
72,2021,1,Simcoe,1,26.06,40.644
73,2021,1,Simcoe,1,36.44,52.25
74,2021,1,Simcoe,1,44.83,40.667
75,2021,1,Simcoe,1,33.57,43.252
76,2021,1,Simcoe,1,35.82,42.801
77,2021,1,Simcoe,1,33.99,29.977
78,2021,1,Simcoe,1,35.14,31.747
79,2021,1,Simcoe,0,2.6,58.369
80,2021,1,Simcoe,0,10.4,59.267
81,2021,1,Ahtanum,1,32.64,17.586
82,2021,1,Mosaic,1,15.88,38.155
83,2021,1,Mosaic,1,31.13,28.828
84,2021,1,Mosaic,1,22.48,20.187
85,2021,1,Mosaic,1,27.25,19.458
86,2021,1,Mosaic,1,35.51,23.915
87,2021,1,Mosaic,1,37.38,41.026
88,2021,1,Mosaic,1,33.61,27.666
89,2021,1,Mosaic,1,34.14,43.05
